"generator","source_type","grade","layout_mode","transformer_count","transformers"
"120px-Carpentra","photo","A","",2,"GlitchWarpTransformer(intensity=0.01) | OilPaintingTransformer(dyn_ratio=7,size=6)"
"125_Blut","photo","A","",2,"HalftoneTransformer(size=2) | ThermalImagingTransformer(thermal=True)"
"1280px-Amphibal","photo","A","",4,"ChromaticAberrationTransformer(angle=165.80,edge_fade=1,shift=16.10) | ColormapTransformer(map=hot) | HalftoneTransformer(size=2) | KaleidoscopeTransformer(cx_off=-0.05,cy_off=0.19,segments=8)"
"1280px-Binari","photo","B","",1,"FlipWilsonTransformer(keep=bottom_right,narrow=0.23)"
"1280px-Despotis","photo","C","",2,"DataMoshTransformer(intensity=0.01) | KaleidoscopeTransformer(cx_off=-0.13,cy_off=-0.20,segments=8)"
"1280px-Engel_-_","photo","A","",3,"ChromaticAberrationTransformer(angle=193.20,edge_fade=1,shift=16.50) | OilPaintingTransformer(dyn_ratio=8,size=6) | WheelTransformer(blend=normal,copies=3)"
"1280px-Gracieus","photo","F","",4,"MeltMorphTransformer(intensity=0.50) | OilPaintingTransformer(dyn_ratio=1,size=8) | PosterizationTransformer(levels=4) | StippleTransformer(bg=black,dot_radius=6,jitter=1,spacing=13)"
"1280px-Heilbad_","photo","A","",3,"HalftoneTransformer(size=2) | SwirlWarpTransformer(strength=1.50) | VoronoiTransformer(edge_blend=1,num_points=91)"
"1280px-Ocean_Li","photo","B","",2,"FlipWilsonTransformer(keep=top_right,narrow=0.44) | WheelTransformer(blend=add,copies=4)"
"1280px-Palocci_","photo","A","",2,"DataMoshTransformer(intensity=0.01) | OilPaintingTransformer(dyn_ratio=2,size=6)"
"1280px-Pincehel","photo","A","",1,"ColormapTransformer(map=winter)"
"1280px-Rolls-Ro","photo","A","",1,"VoronoiTransformer(edge_blend=1,num_points=61)"
"1280px-SAM","photo","C","",3,"ColormapTransformer(map=cool) | GlitchWarpTransformer(intensity=0.01) | WatercolorTransformer(scale=0.85,style=psychedelic)"
"1280px-St._Leon","photo","A","",1,"FluidWarpTransformer(alpha=2.28,sigma=6.11)"
"1280px-The_Galv","photo","A","",3,"HalftoneTransformer(size=2) | PixelSortTransformer(direction=rows,high=0.83,low=0.30,sort_key=green) | VoronoiTransformer(edge_blend=1,num_points=283)"
"1280px-The_Lamp","photo","C","",1,"FisheyeTransformer(shape=circle,strength=0.54,zoom=0.87)"
"1280px-Traité_C","photo","A","",1,"RadialWarpTransformer(radius=0.25,strength=72.42501745833165,style=pull)"
"1280px-Translit","photo","C","",2,"FlipWilsonTransformer(keep=top,narrow=0.48) | SwirlWarpTransformer(strength=1.50)"
"1911_Oldsmobile","photo","A","",2,"DataMoshTransformer(intensity=0.02) | KaleidoscopeTransformer(cx_off=0.08,cy_off=0.11,segments=8)"
"1978_Col","photo","B","",2,"ChromaticAberrationTransformer(angle=252.20,edge_fade=1,shift=9.90) | GlitchWarpTransformer(intensity=0.01)"
"20100926","photo","A","",1,"WheelTransformer(blend=normal,copies=3)"
"201103_VirgoGCM_andreo900","photo","C","",1,"VoronoiTransformer(edge_blend=1,num_points=243)"
"20130525PlanetsKosIsland","photo","A","",2,"FluidWarpTransformer(alpha=5.80,sigma=1.07) | PosterizationTransformer(levels=4)"
"20151221LulworthCove-reKotsiopoulos1024","photo","B","",2,"ColormapTransformer(map=summer) | WatercolorTransformer(scale=0.85,style=psychedelic)"
"2016_07_20_Uplnkova_noc_Brno_PanoHDR_1024px","photo","A","",2,"DataMoshTransformer(intensity=0.01) | OilPaintingTransformer(dyn_ratio=2,size=7)"
"2023-05-","photo","A","",3,"ColormapTransformer(map=hsv) | GlitchWarpTransformer(intensity=0.01) | HalftoneTransformer(size=2)"
"2023-08-","photo","C","",4,"ColormapTransformer(map=hsv) | HalftoneTransformer(size=2) | KaleidoscopeTransformer(cx_off=0.11,cy_off=0.08,segments=8) | RadialWarpTransformer(radius=0.25,strength=97.92391289190473,style=push)"
"20230518_Cather","photo","A","",3,"OilPaintingTransformer(dyn_ratio=8,size=5) | WatercolorTransformer(scale=0.85,style=monet) | WheelTransformer(blend=lighter,copies=5)"
"2026-02-","photo","A","",3,"FlipWilsonTransformer(keep=bottom,narrow=0.42) | HalftoneTransformer(size=2) | SwirlWarpTransformer(strength=1.50)"
"22466-22467anaVantuyne900","photo","A","",4,"GlitchWarpTransformer(intensity=0.01) | PixelSortTransformer(direction=cols,high=0.74,low=0.28,sort_key=blue) | StippleTransformer(bg=black,dot_radius=5,jitter=1,spacing=19) | VoronoiTransformer(edge_blend=1,num_points=223)"
"235794main_GPN-2006-000025_1024x865","photo","A","",4,"FisheyeTransformer(shape=circle,strength=0.47,zoom=0.96) | PixelSortTransformer(direction=cols,high=0.75,low=0.28,sort_key=brightness) | ThermalImagingTransformer(thermal=True) | WatercolorTransformer(scale=0.85,style=psychedelic)"
"330px-Around_Br","photo","A","",3,"OilPaintingTransformer(dyn_ratio=6,size=7) | VoronoiTransformer(edge_blend=1,num_points=283) | WatercolorTransformer(scale=0.85,style=monet)"
"330px-Higgins19","photo","A","",3,"FractalWarpTransformer(iter=1,scale=0.05) | MeltMorphTransformer(intensity=0.50) | RadialWarpTransformer(radius=0.25,strength=122.16318492462318,style=push)"
"330px-Nigerian_","photo","A","",2,"ColormapTransformer(map=jet) | WheelTransformer(blend=lighter,copies=4)"
"330px-Post-medi","photo","B","",1,"WheelTransformer(blend=add,copies=4)"
"330px-Silla_caí","photo","C","",2,"DataMoshTransformer(intensity=0.01) | WheelTransformer(blend=lighter,copies=5)"
"330px-Sommer__G","photo","A","",1,"HalftoneTransformer(size=2)"
"3_Trios_","photo","A","",3,"ChromaticAberrationTransformer(angle=60.60,edge_fade=1,shift=6.40) | PixelSortTransformer(direction=cols,high=0.71,low=0.07,sort_key=blue) | WheelTransformer(blend=add,copies=3)"
"47tuc_eder","photo","A","",2,"DataMoshTransformer(intensity=0.02) | FisheyeTransformer(shape=oval,strength=0.75,zoom=1.09)"
"4pm-analemma-nz","photo","A","",3,"ColormapTransformer(map=ocean) | PixelSortTransformer(direction=rows,high=0.80,low=0.18,sort_key=saturation) | PosterizationTransformer(levels=4)"
"500px-C01683","photo","A","",2,"DataMoshTransformer(intensity=0.01) | FisheyeTransformer(shape=circle,strength=0.70,zoom=1.02)"
"500px-Italiarre","photo","A","",3,"ChromaticAberrationTransformer(angle=95.90,edge_fade=1,shift=17.50) | FractalWarpTransformer(iter=1,scale=0.05) | GlitchWarpTransformer(intensity=0.01)"
"500px-New_flyov","photo","C","",3,"ColormapTransformer(map=cool) | HalftoneTransformer(size=2) | PixelSortTransformer(direction=cols,high=0.72,low=0.11,sort_key=blue)"
